numero_guia;id_procedimento
9919;221003
36809;11301
47679;211114
25639;251042
28449;271009
28449;271012
28449;211114
51089;2510121
53799;211114
83989;10100
84259;10100
84269;10109
18179;251001
18229;251088
18229;211114
20359;20108
26709;2510112
26709;271012
26709;271009
26709;211114
47669;211114
12569;251001
3189;10100
9579;10100
18009;211113
24859;10100
28439;10100
33159;10105
43859;10102
54489;10100
71129;10100
32329;10101010
39029;10101010
6869;211114
49949;271004
6039;251075
6599;2510120
6599;271004
6599;271012
6919;271004
7169;251062
9019;261080
10039;251062
10759;271009
11989;251041
15489;271009
15499;251058
16169;271012
16359;2510128
16359;2510119
16359;271009
17399;2510130
18619;251025
18619;251039
18619;251041
18629;251039
18629;251041
18629;251025
19119;2510121
19149;251041
20069;271012
20089;271011
20509;251062
20509;2510110
21119;251032
21119;251041
21119;251039
21119;251025
21189;2510106
21189;2510102
21239;251041
21369;251001
21409;251039
21409;251025
21409;251041
22879;251041
23569;251001
24069;251062
26629;211114
26629;2510128
26769;251041
27889;251064
27929;251041
28169;2510132
28669;251041
29309;251001
29459;261080
29819;251041
30159;2510119
30159;2510135
30089;2510119
30089;2510120
30649;251041
31209;251098
32709;2510112
32709;2510110
33279;251001
33409;251001
33409;251041
33429;251041
33889;251041
33889;251020
33889;251039
33889;251019
33889;251033
33889;251025
41439;2510130
46809;261080
50619;251062
54759;251062
56079;271011
59779;251041
62689;251020
62689;251027
62689;251041
62689;251032
62689;251039
2819;2510112
2819;271005
3029;271005
3029;2510130
3039;271005
3039;2510130
2029;251041
2919;251050
2939;251001
2939;251018
2939;251026
73319;271011
13269;251062
13269;2510117
74869;271011
37129;2510130
79609;271012
14749;2510135
51559;251025
51559;251041
51559;251033
14479;10101010
78319;251018
78319;211114
78389;211114
78389;2510120
78389;2510121
78379;10100
4809;261043
5209;261043
5769;2510109
6239;261084
8379;261036
8579;261043
9829;261014
9829;261085
9839;261043
10269;261043
10389;261043
10279;261014
10279;261005
10279;261087
11179;261028
11179;261084
11239;261083
11239;261028
11359;261043
15239;261085
15239;261028
16289;261043
17359;261043
17739;261043
18109;261014
18109;261084
18469;261084
18469;261043
18469;261014
19129;261036
19129;261084
19469;261085
21899;261084
21899;261034
21929;261043
22669;261043
22669;261088
22789;261043
22919;261043
22999;2510139
23079;261043
24429;261043
24619;261084
24649;261043
26649;261043
26759;261043
26929;261088
26979;261043
26979;261086
28499;261043
28809;261029
28809;261046
28809;261088
28809;261026
29539;261043
30509;261043
31659;261043
32419;261044
32419;261043
32639;261043
32679;261054
33229;261043
33579;261044
37069;261055
37069;261044
37659;261014
37659;261084
37659;261044
38089;261026
38089;261028
38089;261088
38289;261043
39949;261084
39949;261014
45179;261043
45809;261044
46449;261093
47759;261026
47759;261034
49989;261085
50849;261043
52199;261087
52199;261044
52039;261043
53429;261043
54849;261014
54869;261043
55349;261043
55889;261026
55889;261028
57079;261044
57399;261084
57949;261043
59799;261043
60799;261086
62799;261043
62809;261043
63099;261084
63099;261043
63099;261014
63729;261054
63729;261087
63739;261043
63739;261088
64469;261084
65019;261093
65019;261043
65749;261043
66499;261086
69709;261085
69749;261087
69649;261084
71759;261086
71769;261088
72989;261043
73009;261043
74999;261043
76439;261043
77999;261086
78679;261084
12439;261043
17689;10426
479;251005
439;271012
2469;10322
3649;251041
5929;20101
5699;221003
21319;221003
2489;11301
2489;20102
14269;221003
21169;261044
21459;20101
33869;20101
26949;221002
31049;10811
7889;251062
7889;251001
10519;20102
11009;211114
11009;251076
17789;271007
28409;20101
1679;10100
2799;271006
2799;2510129
3279;211113
4499;10100
5549;211114
6079;10102
12609;211114
13809;211114
14219;10100
17189;211113
17889;10102
20149;211114
21989;211114
23339;10104
23329;10100
23499;10100
26249;10105
27899;10102
29659;10100
30239;10102
30559;10100
30929;10100
31309;10100
31399;211113
31799;10102
33479;10102
4829;2510132
4829;2510121
6709;211114
17659;221001
17659;221002
17859;221001
18679;221001
24589;251001
26549;261043
6699;10100
19139;221001
22149;20101
22419;221001
22419;221002
24439;211114
24439;251041
25389;251035
25389;251024
25389;251037
25389;251026
25389;251001
0;251040
0;251030
0;211114
37739;20101
37869;10809
39109;10809
40239;251041
40239;2510110
40879;211114
40879;251041
44029;251059
44029;211114
46409;211114
46409;251041
54569;211113
54839;251041
54839;211114
55639;20103
55679;11201
55589;10505
55709;20103
55709;11201
55709;11302
59089;251058
59089;211114
60279;261080
60279;2510110
60279;211114
64619;211114
64619;251041
64619;261080
66599;20108
67059;211113
68189;211114
68189;251058
70049;211113
70429;20101
80209;261080
80209;211114
81299;251041
10089;211114
10089;2510112
14229;251086
14229;251041
15919;221003
15919;221002
15919;221001
30459;221003
39909;211114
39909;251001
41889;211113
44089;211114
44089;2510110
44089;261080
44089;251041
44089;2510112
44109;211114
44109;251041
46519;211113
47609;211113
49629;2510121
49629;2510132
49629;271009
50569;251001
50569;211113
50569;211114
61899;211114
61899;251001
67639;251001
67639;211114
69319;2510112
69319;211114
69319;2510110
75579;2510117
75999;211114
75999;251041
78739;211114
78739;2510112
78729;2510110
81469;211114
81469;251001
81499;10809
84449;211114
84449;251041
21589;20101
34909;251041
46909;251001
46919;211113
46929;211114
52629;251041
68729;251041
68749;211114
70019;20106
73739;251040
73739;251026
73739;251029
73739;251020
73739;251018
73739;211114
76829;211114
76829;251041
2909;251029
2909;2510117
2909;251031
2909;251018
2909;251001
0;261043
2999;261043
3199;261043
7119;211114
9509;2510109
9519;271016
9989;251024
9989;211114
9989;251027
20749;251085
20749;211114
20749;251042
22229;221001
31649;211114
31649;251041
38429;251009
38429;211114
42439;20101
45679;251040
45679;211114
45679;251026
45679;251030
55699;20102
55699;11301
55699;11201
56879;211113
58719;211114
58719;251037
66199;211114
66199;2510111
68939;211114
68939;251001
74369;2510110
74369;211114
74369;2510112
80479;20101
83359;20101
8299;251001
20169;221003
20199;221003
24349;10101010
11139;221003
11839;11302
38029;10811
41919;11304
55069;211113
62139;11303
62199;11304
62149;11304
63629;20101
68339;11301
69299;11302
77399;10427
77399;11301
69289;20103
69289;10705
15969;211114
15969;271005
31189;221002
31189;221001
37219;211114
37219;211113
37219;251041
38859;251041
38859;211114
38859;211113
38869;251001
38869;211114
42069;251041
42069;2510102
42289;211113
42769;10324
42769;11302
42769;20103
48179;251014
48179;11304
51209;251009
54639;20105
56039;211113
56039;271011
58049;251041
58049;211114
63819;20101
66849;10505
69109;211114
69109;251085
69889;2510110
69889;211113
69889;251041
69889;211114
71069;211113
71079;211113
72219;271004
72249;211113
72809;20104
72809;11203
72809;11205
78179;211114
78179;251041
78809;211113
78819;251041
78829;251041
78829;211114
64979;11301
77389;11302
16339;251041
16339;211114
17549;251090
17549;211114
17579;251090
37349;211114
37349;251041
48679;251041
48679;2510117
48679;211114
49519;2510117
52839;211112
69769;211114
69769;2510112
6299;211114
12059;221001
24449;251001
24449;211114
24969;221001
27239;251025
27239;2510117
27239;251038
27239;211114
27239;251041
0;251039
27249;2510117
27249;251041
27249;251039
27249;251025
27249;251038
27249;251035
27249;211114
27269;2510117
27269;211114
27269;251035
27269;251038
27269;251041
31829;211114
31829;261080
32309;261055
33269;211114
33269;261080
33829;251001
33829;211114
34639;11302
34639;10428
34639;20101
36229;10814
36229;20101
36229;11301
36219;10811
36219;20102
36629;251032
36629;211114
36629;251039
36629;251025
36639;251040
36639;261044
36639;211114
36639;251026
36639;251030
36659;211114
36659;251030
36659;251026
36659;251040
36659;261044
37559;251009
37879;211114
37879;261080
38679;10811
38679;10808
38989;20101
39099;251041
39099;211114
39359;211114
39359;251001
39439;20101
39739;221001
39739;221002
39979;211114
39979;251001
41049;211114
41049;251041
41669;271013
42249;251001
42249;211114
42269;211113
42899;20103
42899;10324
43199;10408
43669;10811
43679;10809
45329;211113
45519;211113
45959;251001
45959;211114
45959;2510117
46199;211114
46199;251001
46199;251025
46199;251026
46199;251029
46199;251039
46199;251040
47129;2510117
47209;251041
47209;261080
47209;211114
47229;20101
47269;261044
47269;251041
47269;251032
47269;211114
48609;2510117
49039;2510117
49239;251001
49239;251029
49239;251018
49239;251026
49239;251040
0;211114
50269;251001
50269;211114
50869;251041
50869;211114
50869;261055
50889;251041
50889;211114
50889;261055
50899;10811
51139;251041
51149;10811
51569;261044
51779;251001
52429;11304
53439;251041
53439;211114
53789;261055
54179;10809
