competencia;vencimento;data_pagamento;valor_original;valor_pago;id_cliente
2017/06;10/06/2017;05/06/2017;129,9;129,9;1007460048
2017/02;10/02/2017;10/02/2017;129,9;129,9;1007460048
2017/05;10/05/2017;08/05/2017;129,9;129,9;1007460048
2017/03;10/03/2017;08/03/2017;129,9;129,9;1007460048
2017/01;10/01/2017;09/01/2017;129,9;129,9;1007460048
2016/12;10/12/2016;12/12/2016;129,9;129,9;1007460048
2017/04;10/04/2017;10/04/2017;129,9;129,9;1007460048
2017/07;10/07/2017;10/07/2017;129,9;129,9;1007460048
2016/11;10/11/2016;10/11/2016;129,9;129,9;1007460048
2016/10;10/10/2016;10/10/2016;129,9;129,9;1007460048
2017/08;10/08/2017;07/08/2017;129,9;129,9;1007460048
2017/06;10/06/2017;12/06/2017;44,95;44,95;1007470019
2017/02;10/02/2017;02/02/2017;44,95;44,95;1007470019
2017/05;10/05/2017;04/05/2017;40,46;40,46;1007470019
2017/03;10/03/2017;06/03/2017;44,95;44,95;1007470019
2017/01;10/01/2017;09/01/2017;44,95;44,95;1007470019
2016/12;10/12/2016;12/12/2016;44,95;44,95;1007470019
2017/04;10/04/2017;05/04/2017;44,95;44,95;1007470019
2016/11;10/11/2016;07/11/2016;44,95;44,95;1007470019
2017/07;10/07/2017;10/07/2017;44,95;44,95;1007470019
2016/10;10/10/2016;10/10/2016;44,95;44,95;1007470019
2017/08;10/08/2017;10/08/2017;50,9;50,9;1007470019
2016/11;25/11/2016;25/11/2016;89,9;89,9;1007480073
2017/05;25/05/2017;16/05/2017;89,9;89,9;1007480073
2017/04;25/04/2017;25/04/2017;89,9;89,9;1007480073
2017/03;25/03/2017;27/03/2017;89,9;89,9;1007480073
2016/10;25/10/2016;25/10/2016;89,9;89,9;1007480073
2016/12;25/12/2016;26/12/2016;89,9;89,9;1007480073
2017/02;25/02/2017;01/03/2017;89,9;89,9;1007480073
2017/06;25/06/2017;26/06/2017;89,9;89,9;1007480073
2017/01;25/01/2017;16/01/2017;89,9;89,9;1007480073
2017/07;25/07/2017;25/07/2017;89,9;89,9;1007480073
2017/06;10/06/2017;05/06/2017;89,9;89,9;1007510088
2017/02;10/02/2017;10/02/2017;89,9;89,9;1007510088
2017/03;10/03/2017;03/03/2017;89,9;89,9;1007510088
2016/10;18/10/2016;18/10/2016;89,9;89,9;1007510088
2017/05;10/05/2017;05/05/2017;80,91;80,91;1007510088
2016/12;10/12/2016;05/12/2016;89,9;89,9;1007510088
2016/11;17/11/2016;17/11/2016;89,9;99,1;1007510088
2017/01;13/01/2017;13/01/2017;89,9;98,98;1007510088
2017/04;10/04/2017;10/04/2017;89,9;89,9;1007510088
2017/08;15/08/2017;15/08/2017;89,9;99,03;1007510088
2017/07;15/08/2017;15/08/2017;89,9;89,9;1007510088
2016/11;01/12/2016;01/12/2016;89,9;99,07;1007530011
2017/01;27/03/2017;27/03/2017;89,9;100,72;1007530011
2016/10;27/12/2016;25/12/2016;89,9;100,75;1007530011
2016/12;25/12/2016;02/01/2017;89,9;99,13;1007530011
2017/02;23/02/2017;24/02/2017;189,8;209,62;1007540076
2017/03;24/03/2017;24/03/2017;189,8;209,65;1007540076
2016/12;15/12/2016;15/12/2016;189,8;209,09;1007540076
2016/11;10/11/2016;09/11/2016;189,8;189,8;1007540076
2016/10;21/10/2016;21/10/2016;189,8;189,8;1007540076
2017/01;10/01/2017;10/01/2017;189,8;189,8;1007540076
2017/04;10/04/2017;05/04/2017;89,9;89,9;1007550039
2017/06;10/06/2017;31/05/2017;89,9;89,9;1007550039
