grupo,procedimento,copart,honorarios
Consultas,Consulta comum,60,60
Consultas,Consulta plantão,120,110
Consultas,Consulta domiciliar,120,100
Consultas,Retorno consulta comum (30 dias),0,0
Especialistas,Dermatologia,NC,160
Especialistas,Cardiologia,NC,160
Especialistas,Oftalmologia,NC,160
Especialistas,Ortopedia,NC,160
Especialistas,Oncologia,NC,160
Especialistas,Nefrologia,NC,160
Especialistas,Neurologia,NC,160
Especialistas,Nutrologia,NC,160
Especialistas,Endocrinologia,NC,160
Especialistas,Gastroenterologia (novo),NC,160
Especialistas,Felinos (novo),NC,130
Especialistas,Reconsulta com especialista,NC,60
Vacinas,Vacina da raiva,55,55
Vacinas,Vacina da gripe,65,60
Vacinas,Vacina polivalente / quádrupla,65,70
Vacinas,Vacina quintúpla,85,80
Vacinas,Vacina Giárdia (novo),NC,80
Vacinas,Vacina Leishmaniose (novo),NC,130
Exames Simples,Teste de ﬂuoresceína,20,10
Exames Simples,Teste de Schirmer,22,5
Exames Simples,Relação proteína creatinina (RPC),42,38
Exames Simples,Frutosamina,35,30
Exames Simples,Relação sódio/potássio,30,20
Exames Simples,Sódio,20,16
Exames Simples,Relação albumina/globulina,25,20
Exames Simples,Exame micológico de pele direto (tricograma),45,30
Exames Simples,Potássio,20,15
Exames Simples,Cálcio,20,16
Exames Simples,GGT,25,18
Exames Simples,AST (TGO),25,19
Exames Simples,PT (proteínas totais),20,10
Exames Simples,Albumina,20,18
Exames Simples,Hemograma + plaquetas,30,23
Exames Simples,E.Q.U. (urinálise),30,22
Exames Simples,Colesterol total,25,20
Exames Simples,Triglicerídeos,25,19
Exames Simples,Exame de fezes (Técnica de Willis),25,23
Exames Simples,Uréia,25,18
Exames Simples,Fósforo,20,16
Exames Simples,PPT,20,13
Exames Simples,Fosfatase alcalina,20,18
Exames Simples,Creatinina,25,18
Exames Simples,Glicose,20,18
Exames Simples,ALT (TGP),20,19
Exames Simples,Raspado de pele (exame parasitológico de pele),30,24
Exames Simples,Glicemia,15,15
Exames Simples,Lipase ,25,20
Exames Especiais,FIV/FELV teste rápido,130,120
Exames Especiais,SDMA ,NC,90
Exames Especiais,T3 Total Radioimunoensaio ,NC,54
Exames Especiais,T4 Livre Radioimunoensaio ,NC,54
Exames Especiais,T4 Total Radioimunoensaio ,NC,54
Exames Especiais,TSH Quimioluminescência ,NC,39
Exames Especiais,Cultura bacteriológica/ antibiograma,NC,44
Exames Especiais,Cinomose teste rápido,NC,72
Exames Especiais,Parvovirose teste rápido,NC,50
Exames Especiais,Histopatológico (por peça),NC,80
Exames Especiais,Citopatológico (BAAF/CAAF),NC,74
