id;nome_clinica;agencia;cpf_cnpj;crmv;email_contato;contato_principal;complemento_endereco;rua;bairro;cidade;telefone_fixo;email_secundario;estado;cep;tipo_pessoa;;numero_conta;numero_endereco;tipo;updated_at;banco;celular
17;ALEXANDER MALBAR TANURE ME - PET STOP CLÍNICA VET;;23.708.881/0001-03;0;thundervet@gmail.com;;;CASTELO BRANCO LADO IMPAR;CENTRO DE VILA VELHA;VILA VELHA;2733299606;;ES;29100-041;PJ;4/4/2016 00:00;;;;;;
170;ANIMEV CARAPINA;;11.221.276/0001-16;0;0;;;;;;2733378166;;;;PJ;21/11/2016 00:00;;;;;;
7;ANIMEV JACARAIPE I;;11.221.276/0001-16;0;climev.org@gmail.com;;;ABIDO SAADI;PARQUE JACARAIPE;SERRA;2733378166;;ES;29175-520;PJ;6/10/2015 00:00;;;;;;
152;ANIMEV JACARAIPE II;;11.221.276/0001-16;0;0;;;;;;;;;;PJ;17/11/2016 00:00;;;;;;
173;BICHO MANIA LTDA ME;;10.638.152/0001-78;0;0;;;;;;;;;;PJ;18/8/2016 00:00;;;;;;
32;CAIP CENTRO AVANÇADO DE IMAGEM E PATOLOGIA VET.;;13.400.654/0001-54;0;wabflorio@gmail.com;;;LUIZA GRINALDA;CENTRO DE VILA VELHA;VILA VELHA;2730757100;;ES;29100-240;PJ;10/12/2015 00:00;;;;;;
31;CDVET CENTRO DE DIAGNÓSTICO VETERINÁRIO LTDA ME;;11.166.217/0001-92;0;cdvet.es@gmail.com;;;INACIO HIGINO DE 602 AO FIM LADO PAR;PRAIA DA COSTA;VILA VELHA;2741052882;;ES;29101-094;PJ;1/4/2016 00:00;;;;;;
215;CELL LAB SOLUCOES EM DIAGNOSTICO VETERINARIO LTDA;CELL LAB;21.223.127/0001-40;0;0;;;;;;(22) 2724 – 0787;;;;PJ;30/1/2017 00:00;;;;;;
1;CENTRO VETERINÁRIO CENTROVET S/S LTDA;CENTROVET;11.462.701/0001-69;0;contato@centrovetes.com.br;;;DOM PEDRO II;PRAIA DO CANTO;VITORIA;2730192666;;ES;29055-600;PJ;10/10/2015 00:00;1/2/2017 00:00;;;;;
115;CENTRO VETERINARIO LUA E FREDO;;21.706.378/0001-85;0;vendasanimallis@gmail.com;;;MADEIRA DE FREITAS;PRAIA DO CANTO;VITORIA;30242020;;ES;29055-320;PJ;18/10/2016 00:00;;;;;;
26;CHARME PET BOUTIQUE CLUB LTDA - ME;;23.749.169/0001-44;0;charmepetboutique@gmail.com;;;DO SOL LADO IMPAR;PRAIA DE ITAPARICA;VILA VELHA;2792969191;;ES;29102-023;PJ;19/7/2016 00:00;15/2/2017 00:00;;;;;
3;CLIMEV CLINICA VETERINÁRIA LTDA - ME;;01.645.764/0001-05;0;climev.org@gmail.com;;;CARLOS MARTINS;JARDIM CAMBURI;VITORIA;2733378166;;ES;29090-060;PJ;14/9/2016 00:00;;;;;;
216;CLIMEV CLINICA VETERINÁRIA LTDA - ME;;01.645.764/0001-05;0;climev.org@gmail.com;;;;;;2733378166;;;;PJ;14/9/2016 00:00;;;;;;
8;CLIMEV LARANJEIRAS;;10.277.977/0001-04;0;climev.org@gmail.com;;;ELDES SCHERRER SOUZA;PARQUE RESIDENCIAL LARANJEIRAS;SERRA;2733378166;;ES;29165-680;PJ;6/10/2015 00:00;;;;;;
25;CLINICA VETERINÁRIA CONTINENTAL PET LTDA;;17.001.566/0001-30;0;continentalpet@live.com;;;MERIDIONAL;CIDADE CONTINENTALSETOR EUROPA;SERRA;2730669566;;ES;29163-512;PJ;5/11/2015 00:00;;;;;;
51;CLINICA VETERINARIA DA PRAIA LTDA - VILA VELHA PET;;11.418.714/0001-30;0;vvpethospital@gmail.com;;;DO SOL LADO PAR;PRAIA DE ITAPARICA;VILA VELHA;;;ES;29102-020;PJ;1/1/2016 00:00;;;;;;
37;CLINICA VETERINARIA FAUNA URBANA;;10.816.381/0001-35;0;grasicypriano@gmail.com;;;AV ESPIRITO SANTO;MARCILIO DE NORONHA;VIANA;2835211355;;ES;29135-000;PJ;27/7/2016 00:00;;;;;;
28;CLINICA VETERINÁRIA GUARAPARI;;21.912.576/0001-03;0;fabiomaio69@gmail.com;;;FRANCISCO VIEIRA PASSOS;MUQUICABA;GUARAPARI;2733615790;;ES;29215-440;PJ;18/7/2016 00:00;;;;;;
134;CLINICA VETERINARIA GUARAPARI LTDA ME;;21.912.576/0001-03;0;0;;;FRANCISCO VIEIRA PASSOS;MUQUICABA;GUARAPARI;;;ES;29215-440;PJ;9/11/2016 00:00;;;;;;
181;CLINICA VETERINARIA PROBICHOS;;22.302.172/0001-52;0;probichoses@gmail.com;;;;;;;;;;PJ;8/12/2016 00:00;;;;;;
10;CLINICA VETERINÁRIA PRONDOG;;08.817.182/0001-08;0;sirlene_vet@hotmail.com;;;ENGENHEIRO FABIO RUSCHI;BENTO FERREIRA;VITORIA;2732276833;;ES;29050-670;PJ;10/12/2015 00:00;;;;;;
118;CLINICA VETERINARIA SAUDE ANIMAL;;05.372.882/0001-30;0;0;;;;;;2227228755;;;;PJ;1/8/2016 00:00;;;;;;
195;CLINICA VETERINARIA SHOPPING DOS BICHOS;SHOPPING DOS BICHOS;17.229.944/0001-38;0;contato@shoppingdosbichos.com;;;;;;(21) 22017331;;;;PJ;19/1/2017 00:00;;;;;;
11;CLINICA VETERINÁRIA VIDA ANIMAL LTDA;;13.606.727/0002-40;0;vidaanimalcvet@gmail.com;;;VICENTE CELESTINO;CAMPO GRANDE;CARIACICA;2732160452;;ES;29146-450;PJ;10/12/2015 00:00;;;;;;
27;CLINIVET CLINICA VETERINARIA LTDA;;10.227.763/0001-23;0;clinivet.viana@hotmail.com;;;JONES DOS SANTOS NEVES;SANTO ANTONIO;CACHOEIRO DE ITAPEMIRIM;273448547;;ES;29300-500;PJ;15/9/2016 00:00;;;;;;
30;CLIVET CENTRO MEDICO VETERINARIO;;23.127.364/0001-32;0;ritiallepastore@gmail.com;;;FORTALEZA DE 1202 A 1800 LADO PAR;ITAPUA;VILA VELHA;2730621100;;ES;29101-574;PJ;2/8/2016 00:00;;;;;;
23;CONS. MED. VET. AGROCAMPO;;00.007.300/5546-95;0;lindomar.agrocampo@gmail.com;;;JERONIMO MONTEIRO;VILA BATISTA;VILA VELHA;2732261943;;ES;29116-025;PF;19/7/2016 00:00;;;;;;
5;CONS. MED. VET. ANIMEV JARDIM DA PENHA;;00.002.021/2437-10;0;animev.org@gmail.com;;;DOUTOR DIDO FONTES;JARDIM DA PENHA;VITORIA;2733368166;;ES;29060-280;PF;6/10/2015 00:00;;;;;;
6;CONS. MED. VET. ANIMEV LARANJEIRAS;;51.179.469/0001-70;0;climev.org@gmail.com;;;CENTRAL;PARQUE RESIDENCIAL LARANJEIRAS;SERRA;;;ES;29165-130;PJ;6/10/2015 00:00;;;;;;
2;CONS. MED. VET. DR DE BICHO;;00.002.107/5097-94;0;vvpethospital@gmail.com;;;DOUTOR JAIR ANDRADE ATE 900 LADO PAR;ITAPUA;VILA VELHA;2733402225;;ES;29101-700;PF;6/10/2015 00:00;26/10/2016 00:00;;;;;
19;CONS. MED. VET. MISTER PET;;24.480.813/0001-94;0;korbancat@hotmail.com;;;CURITIBA DE 902 A 1290 LADO PAR;ITAPUA;VILA VELHA;2730715151;;ES;29101-558;PJ;2/5/2016 00:00;15/2/2017 00:00;;;;;
18;CONS. MED. VET. PRAIA PET;;12.647.999/0001-44;0;praia.pet@hotmai.com;;;DO SOL LADO IMPAR;PRAIA DE ITAPARICA;VILA VELHA;2741053226;;ES;29102-023;PJ;23/3/2016 00:00;15/2/2017 00:00;;;;;
111;CONSULT. VETERINARIO ANIMEV MATA DA PRAIA;;11.221.276/0001-16;0;0;;;ARISTOBULO BARBOSA LEAO;MATA DA PRAIA;VITORIA;2730292266;;ES;29066-300;PJ;1/8/2015 00:00;;;;;;
186;DOCTOR CLINICA VETERINARIA LTDA;;22.705.577/0001-31;0;0;;;;;;2131990500;;;;PJ;22/12/2016 00:00;;;;;;
126;DOG HOUSE;;11.898.290/0001-59;0;petshopdoghouse@gmail.com;;;;;;;;;;PJ;4/11/2016 00:00;;;;;;
112;ESCOLA SUPERIOR SAO FRANCISCO DE ASSIS - ESFA;;34.078.881/0011-57;0;0;;;AV. BERNARDINHO MONTEIRO;DOIS PINHEIROS;SANTA TERESA;;;ES;29650-000;PJ;17/10/2016 00:00;;;;;;
12;F & F PET CENTER COMERCIAL LTDA - ME;;15.721.736/0001-26;0;ffpetcenter@hotmail.com;;;CENTRAL;PARQUE RESIDENCIAL LARANJEIRAS;SERRA;2733286362;;ES;29165-130;PJ;11/12/2015 00:00;;;;;;
197;IDAN - INSTITUTO DIAGNOSTICO ANIMAL LTDA ME;IDAN;13.273.260/0001-82;0;adm@idan.vet.br;;;;;;30590155;;;;PJ;;;;;;;
194;LABORLIFE ANÁLISES CLÍNICAS LTDA;LABORLIFE;01.414.593/0001-03;0;laborlife@laborlife.com.br;;;;;;(21) 2275-2240;;;;PJ;19/1/2017 00:00;;;;;;
189;LIFEPET SAUDE;LIFEPET;22.752.032/0001-86;0;auditoria@lifepetsaude.com.br;;;;;;30225550;;;;PJ;17/1/2017 00:00;;;;;;
9;MVET POPULAR;;21.700.237/0001-55;0;mvetpopular@gmail.com;;;MACHADO DE ASSIS;PARQUE RESIDENCIAL LARANJEIRAS;SERRA;2730111437;;ES;29165-490;PJ;23/11/2015 00:00;;;;;;
193;PHYSIOPET FISIOTERAPIA ANIMAL;PHYSIOPET;;0;reserva@doghotel.com.br;;;;;;3347-3684;;;;PJ;17/1/2017 00:00;;;;;;
