grupo_id;plano_id;dias_carencia;quantidade_usos;liberacao_automatica;valor_desconto
99900;14;2;88888;0;0
99900;15;2;88888;0;0
99900;16;2;88888;0;0
99900;18;2;88888;0;0
99900;19;2;88888;0;0
99900;20;2;88888;0;0
99900;21;2;88888;0;0
10102;21;90;88888;0;0
10102;20;90;88888;0;0
99960;16;180;10;0;0
99960;20;180;10;0;0
21111;21;30;10;0;0
23100;21;30;10;0;0
99909;10;120;1;0;0
99905;15;120;1;0;0
99909;15;120;1;0;0
99905;16;120;1;0;0
99909;16;120;1;0;0
99909;18;120;1;0;0
99909;19;120;1;0;0
99905;20;120;1;0;0
99909;20;120;1;0;0
99911;12;180;1;0;0
99950;13;180;1;0;0
99950;14;180;1;0;0
99950;15;180;1;0;0
99907;16;180;1;0;0
99911;16;180;1;0;0
99950;16;180;1;0;0
99950;17;180;1;0;0
99950;18;180;1;0;0
10200;19;180;1;0;0
99905;19;180;1;0;0
99911;19;180;1;0;0
99950;19;180;1;0;0
99907;20;180;1;0;0
99911;20;180;1;0;0
99950;20;180;1;0;0
99950;21;180;1;0;0
23100;17;30;1;0;0
99910;4;360;1;0;0
99911;7;360;1;0;0
99910;8;360;1;0;0
99911;8;360;1;0;0
99911;11;360;1;0;0
99910;12;360;1;0;0
99910;16;360;1;0;0
99911;18;360;1;0;0
99910;20;360;1;0;0
99911;21;360;1;0;0
11999;6;60;1;0;0
11999;10;60;1;0;0
99905;11;60;1;0;0
99905;12;60;1;0;0
20100;14;60;1;0;0
20100;18;60;1;0;0
99909;6;90;1;0;0
99909;7;90;1;0;0
99909;8;90;1;0;0
99909;11;90;1;0;0
99909;12;90;1;0;0
10200;14;90;1;0;0
10200;15;90;1;0;0
10200;18;90;1;0;0
11999;18;90;1;0;0
10200;21;90;1;0;0
22100;13;180;2;0;0
11999;7;60;2;0;0
11999;11;60;2;0;0
11999;14;60;2;0;0
99914;21;60;2;0;0
10102;13;90;2;0;0
10102;14;90;2;0;0
11999;19;90;2;0;0
11999;21;90;2;0;0
22100;1;180;3;0;0
22100;5;180;3;0;0
22100;6;180;3;0;0
22100;7;180;3;0;0
22100;8;180;3;0;0
22100;9;180;3;0;0
22100;14;180;3;0;0
22100;15;180;3;0;0
22100;16;180;3;0;0
99900;6;2;3;0;0
99900;10;2;3;0;0
10100;5;30;3;0;0
10102;5;30;3;0;0
21111;5;30;3;0;0
23100;5;30;3;0;0
20100;6;30;3;0;0
23100;6;30;3;0;0
21111;9;30;3;0;0
