numero_guia;id_clinica;created_at;id_pet;id_plano;observacao;id_prestador;id_procedimento;valor_momento;justificativa;laudo;imagem_laudo;autorizacao;tipo_atendimento;status;updated_at
84109;189;2017-08-25;1020470141;18;;178;10101010;0.00;;;;;;LIBERADO;
83899;189;2017-08-24;1020610171;18;;178;10101010;0.00;;;;;;LIBERADO;
83889;189;2017-08-24;1020610252;18;;178;10101010;0.00;;;;;;LIBERADO;
84099;189;2017-08-25;1020620134;19;;178;10101010;0.00;;;;;;LIBERADO;
84089;189;2017-08-25;1020620215;17;;178;10101010;0.00;;;;;;LIBERADO;
84209;189;2017-08-26;1020700162;19;;178;10101010;0.00;;;;;;LIBERADO;
83139;189;2017-08-21;1010600173;7;;178;211114;0.20;;;;;;LIBERADO;
83139;189;2017-08-21;1010600173;7;;178;10100;1.00;;;;;;LIBERADO;
83269;197;2017-08-22;1010600173;7;;178;251041;0.40;;;;;;LIBERADO;
83979;189;2017-08-24;1013380158;3;NEGATIVA DE AUTORIZACAO;17;10100;1.00;;;;;;RECUSADO;
83999;17;2017-08-25;1013380158;3;;17;211113;0.25;;;;;;LIBERADO;
83989;17;2017-08-25;1013380158;3;NEGATIVA DE AUTORIZACAO;17;10100;0.70;;;;;;RECUSADO;
84019;17;2017-08-25;1013380158;3;;17;10104;0.85;;;;;;LIBERADO;
84189;32;2017-08-26;1013380158;3;;122;211114;0.20;;;;;;LIBERADO;
84169;32;2017-08-26;1013380158;3;;122;251041;0.40;;;;;;LIBERADO;
83049;51;2017-08-19;1020380150;19;;51;10100;0.70;;;;;;LIBERADO;
82829;10;2017-08-18;1009120104;18;;39;211114;0.10;;;;;;LIBERADO;
82849;197;2017-08-18;1009120104;18;;197;251041;0.40;;;;;;LIBERADO;
82819;10;2017-08-18;1009120104;18;;10;10100;0.70;;;;;;LIBERADO;
82949;51;2017-08-18;1012560438;7;;197;10104;0.85;;;;;;LIBERADO;
82959;197;2017-08-19;1012560438;7;;197;251041;0.40;;;;;;LIBERADO;
83769;17;2017-08-23;1014110146;6;;17;10100;0.70;;;;;;LIBERADO;
82199;189;2017-08-15;1013550177;6;;178;221002;0.30;;;;;;LIBERADO;
82049;189;2017-08-15;1013550177;6;NEGATIVA DE AUTORIZACAO;178;221002;0.30;;;;;;RECUSADO;
82199;189;2017-08-15;1013550177;6;;178;221001;0.60;;;;;;LIBERADO;
82049;189;2017-08-15;1013550177;6;NEGATIVA DE AUTORIZACAO;178;221003;0.60;;;;;;RECUSADO;
82049;189;2017-08-15;1013550177;6;NEGATIVA DE AUTORIZACAO;178;221001;0.60;;;;;;RECUSADO;
83829;3;2017-08-23;1010090116;3;;80;211114;0.10;;;;;;LIBERADO;
83829;3;2017-08-23;1010090116;3;;80;251041;0.35;;;;;;LIBERADO;
83819;3;2017-08-23;1010090116;3;NEGATIVA DE AUTORIZACAO;80;10100;0.70;;;;;;RECUSADO;
83219;51;2017-08-21;1012560195;3;;51;10102;1.00;;;;;;LIBERADO;
84289;51;2017-08-26;1012000131;3;;51;10105;1.00;;;;;;LIBERADO;
83079;3;2017-08-20;1014300191;3;NEGATIVA DE AUTORIZACAO;3;10109;1.50;;;;;;RECUSADO;
82389;189;2017-08-16;1011130138;3;;178;221002;0.30;;;;;;LIBERADO;
82389;189;2017-08-16;1011130138;3;;178;221001;0.60;;;;;;LIBERADO;
