id;numero_guia;id_clinica;data;id_pet;id_plano;id_prestador;id_procedimento;valor_momento;justificativa;laudo;observacao;imagem_laudo;autorizacao;tipo_atendimento;status;created_at;updated_at
8379;8379;31;2016-11-08;1010520145;3;NULL;261036;0.01;;;953010000581898;;AUTOMATICA;NORMAL;LIBERADO;2016-11-08;
9829;9829;31;2016-11-14;1008110199;6;NULL;261014;0.01;;;953010000691229;;AUTOMATICA;NORMAL;LIBERADO;2016-11-14;
10279;10279;31;2016-11-17;1014200480;6;NULL;261005;0.01;;;953010000690971;;AUTOMATICA;NORMAL;LIBERADO;2016-11-17;
10279;10279;31;2016-11-17;1014200480;6;NULL;261014;0.01;;;953010000690971;;AUTOMATICA;NORMAL;LIBERADO;2016-11-17;
10549;10549;31;2016-11-18;1014200480;6;NULL;261014;0.01;;;953010000690971;;AUTOMATICA;NORMAL;LIBERADO;2016-11-18;
10549;10549;31;2016-11-18;1014200480;6;NULL;261005;0.01;;;953010000690971;;AUTOMATICA;NORMAL;LIBERADO;2016-11-18;
11179;11179;31;2016-11-21;1014000219;3;NULL;261028;0.01;;;953010000568104;;AUTOMATICA;NORMAL;LIBERADO;2016-11-21;
11239;11239;31;2016-11-21;1014000219;3;NULL;261028;0.01;;;953010000568104;;AUTOMATICA;NORMAL;LIBERADO;2016-11-21;
11249;11249;31;2016-11-21;1014000219;3;NULL;261028;0.01;;;953010000568104;;AUTOMATICA;NORMAL;LIBERADO;2016-11-21;
11509;11509;68;2016-11-22;10154;6;44;10101010;0.01;;;953010000690950;;AUTOMATICA;NORMAL;LIBERADO;2016-11-22;
11969;11969;68;2016-11-24;10154;6;165;10101010;0.01;;;953010000690950;;AUTOMATICA;NORMAL;LIBERADO;2016-11-24;
12029;12029;31;2016-11-25;1007910183;6;NULL;261014;0.01;;;953010000573489;;AUTOMATICA;NORMAL;LIBERADO;2016-11-25;
12269;12269;31;2016-11-26;1014810121;6;NULL;261014;0.01;;;953010000583227;;AUTOMATICA;NORMAL;LIBERADO;2016-11-26;
12849;12849;30;2016-11-29;1017730218;10;NULL;10101010;0.01;;;953010000573093;;AUTOMATICA;NORMAL;LIBERADO;2016-11-29;
13139;13139;3;2016-11-29;1015380147;10;84;10101010;0.01;;;953010000687486;;AUTOMATICA;NORMAL;LIBERADO;2016-11-29;
12859;12859;30;2016-11-29;1017730137;10;NULL;10101010;0.01;;;953010000572596;;AUTOMATICA;NORMAL;LIBERADO;2016-11-29;
12819;12819;23;2016-11-29;1008790122;6;NULL;10101010;0.01;;;953010000570364;;AUTOMATICA;NORMAL;LIBERADO;2016-11-29;
13489;13489;31;2016-11-30;1013040217;6;NULL;261026;0.01;;;953010000691553;;AUTOMATICA;NORMAL;LIBERADO;2016-11-30;
13319;13319;129;2016-11-30;1017270110;10;NULL;10101010;0.01;;;953010000692082;;AUTOMATICA;NORMAL;LIBERADO;2016-11-30;
13739;13739;31;2016-12-01;1013590128;3;NULL;261026;0.01;;;953010000583117;;AUTOMATICA;NORMAL;LIBERADO;2016-12-01;
13649;13649;30;2016-12-01;1018060194;11;NULL;10101010;0.01;;;953010000572325;;AUTOMATICA;NORMAL;LIBERADO;2016-12-01;
13759;13759;176;2016-12-01;1007760190;6;176;10101010;0.01;;;953010000582025;;AUTOMATICA;NORMAL;LIBERADO;2016-12-01;
13549;13549;31;2016-12-01;1009660125;3;NULL;261014;0.01;;;953010000568189;;AUTOMATICA;NORMAL;LIBERADO;2016-12-01;
13819;13819;51;2016-12-02;1013170269;12;159;10101010;0.01;;;953010000575535;;AUTOMATICA;NORMAL;LIBERADO;2016-12-02;
14139;14139;31;2016-12-02;1011300157;3;NULL;261016;0.01;;;900164001181931;;AUTOMATICA;NORMAL;LIBERADO;2016-12-02;
14279;14279;176;2016-12-02;1018000116;11;176;10101010;0.01;;;953010000582029;;AUTOMATICA;NORMAL;LIBERADO;2016-12-02;
