id;nome_pet;observacoes;data_nascimento;data_contrato;tipo;ativo;id_plano;numero_microchip;created_at;id_cliente;contem_doenca_pre_existente;doencas_pre_existentes;updated_at;deleted_at;familiar;data_encerramento;;;;;;;;;;;;
1014490119;AMORA PAULA;SEXO: FÊMEA;2013-09-30;2015-12-01;CACHORRO;0;1;953010000567721;2016-10-04 00:00;1014490038;0;;;;0;;;;;;;;;;;;;
1010070191;BIBI DIAS;SEXO: FÊMEA;2010-03-24;2016-03-15;CACHORRO;1;2;953010000581948;2016-09-26 00:00;1010070018;0;;;;1;;;;;;;;;;;;;
1010070271;DUDA DIAS;SEXO: FÊMEA;2011-10-23;2016-03-15;CACHORRO;1;2;953010000581952;2016-09-26 00:00;1010070018;0;;;;1;;;;;;;;;;;;;
1012370221;POUPEE SOARES;SEXO: MACHO;2009-12-09;2016-06-01;CACHORRO;1;2;953010000566679;2016-09-28 00:00;1012370060;0;;;;1;;;;;;;;;;;;;
1014070250;CHARLLOTE VIEIRA;SEXO: FÊMEA;2015-03-04;2016-04-15;CACHORRO;0;2;953010000576072;2016-09-30 00:00;1014070098;0;;;;1;;;;;;;;;;;;;
1009520111;KIKA MONTEIRO;SEXO: FÊMEA;2013-03-15;2016-02-12;CACHORRO;1;2;900008800540021;2016-09-24 00:00;1009520030;0;;;;1;;;;;;;;;;;;;
1009570134;LULU OLIVEIRA;SEXO: FÊMEA;2010-10-05;2016-07-15;GATO;0;2;953010000692487;2016-09-24 00:00;1009570053;0;;;;1;;;;;;;;;;;;;
1010240118;FRED DRUMOND;SEXO: MACHO;2010-01-01;2016-02-01;CACHORRO;0;2;653;2016-09-26 00:00;1010240029;0;;;;1;;;;;;;;;;;;;
1009180263;DORA LEITE;SEXO: FÊMEA;2014-05-01;2016-04-15;CACHORRO;0;2;953010000575507;2016-09-24 00:00;1009180000;0;;;;1;;;;;;;;;;;;;
1009180344;RALPH LEITE;SEXO: MACHO;2014-07-01;2016-04-15;CACHORRO;0;2;953010000691116;2016-09-24 00:00;1009180000;0;;;;1;;;;;;;;;;;;;
1009180425;MIMINHA LEITE;SEXO: FÊMEA;2015-10-22;2016-04-15;GATO;0;2;953010000575447;2016-09-24 00:00;1009180000;0;;;;1;;;;;;;;;;;;;
1009180514;TOT LEITE;SEXO: MACHO;2010-02-17;2016-05-15;CACHORRO;1;2;953010000575772;2016-09-24 00:00;1009180000;0;;;;1;;;;;;;;;;;;;
1010410129;BELINHA GODOY;SEXO: FÊMEA;2006-04-06;2016-04-01;CACHORRO;0;2;953010000575497;2016-09-26 00:00;1010410048;0;;;;1;;;;;;;;;;;;;
1009180182;FIFI LEITE;SEXO: FÊMEA;2012-03-01;2016-04-15;CACHORRO;0;2;953010000575886;2016-09-24 00:00;1009180000;0;;;;1;;;;;;;;;;;;;
1009490114;JADE SCHNEIDER;SEXO: FÊMEA;2012-07-28;2016-06-15;GATO;1;2;953010000567859;2016-09-24 00:00;1009490025;0;;;;1;;;;;;;;;;;;;
1010240291;RUD DRUMOND;SEXO: MACHO;2010-01-01;2016-02-01;CACHORRO;0;2;657;2016-09-26 00:00;1010240029;0;;;;1;;;;;;;;;;;;;
1009520200;HACHI MONTEIRO;SEXO: MACHO;2013-03-03;2016-02-12;CACHORRO;1;2;900008800540026;2016-09-24 00:00;1009520030;0;;;;1;;;;;;;;;;;;;
1010930122;MARVEN SILVA;SEXO: MACHO;2013-11-13;2016-03-15;CACHORRO;1;2;953010000567239;2016-09-26 00:00;1010930041;0;;;;1;;;;;;;;;;;;;
1010930211;DUQUE SILVA;SEXO: MACHO;2015-04-25;2016-03-15;CACHORRO;1;2;953010000567535;2016-09-26 00:00;1010930041;0;;;;1;;;;;;;;;;;;;
1010470113;PIERRE SANTOS;SEXO: MACHO;2007-06-29;2016-03-15;CACHORRO;0;2;953010000575472;2016-09-26 00:00;1010470024;0;;;;1;;;;;;;;;;;;;
1010470296;PITUCHA SANTOS;SEXO: FÊMEA;2012-02-26;2016-03-15;CACHORRO;0;2;953010000575464;2016-09-26 00:00;1010470024;0;;;;1;;;;;;;;;;;;;
1010470377;MEL SANTOS;SEXO: FÊMEA;2014-12-14;2016-03-15;CACHORRO;0;2;953010000575467;2016-09-26 00:00;1007740083;0;;;;1;;;;;;;;;;;;;
1010470458;CAIO SANTOS;SEXO: MACHO;2015-07-02;2016-03-15;GATO;0;2;953010000575674;2016-09-26 00:00;1010470024;0;;;;1;;;;;;;;;;;;;
1009490297;GANDOLF SCHNEIDER;SEXO: MACHO;2013-05-22;2016-06-15;GATO;1;2;953010000567804;2016-09-24 00:00;1009490025;0;;;;1;;;;;;;;;;;;;
1012570158;HANNA LEMOS;SEXO: FÊMEA;2014-05-15;2016-04-01;CACHORRO;0;2;953010000568158;2016-09-28 00:00;1012570077;0;;;;1;;;;;;;;;;;;;
1012640113;BRUCE ROBERTE;SEXO: MACHO;2010-01-01;2016-02-15;CACHORRO;1;2;953010000572970;2016-09-28 00:00;1012640032;0;;;;1;;;;;;;;;;;;;
1012640202;PITOCO ROBERTE;SEXO: MACHO;2010-12-05;2016-02-15;CACHORRO;1;2;953010000572966;2016-09-28 00:00;1012640032;0;;;;1;;;;;;;;;;;;;
1012640385;JUNINHO ROBERTE;SEXO: MACHO;2011-10-01;2016-02-15;CACHORRO;1;2;953010000572659;2016-09-28 00:00;1012640032;0;;;;1;;;;;;;;;;;;;
1012640466;LUNA ROBERTE;SEXO: FÊMEA;2009-04-19;2016-02-15;CACHORRO;1;2;953010000568170;2016-09-28 00:00;1012640032;0;;;;1;;;;;;;;;;;;;
1012640547;BELINHA ROBERTE;SEXO: FÊMEA;2011-07-03;2016-02-15;CACHORRO;1;2;953010000578758;2016-09-28 00:00;1012640032;0;;;;1;;;;;;;;;;;;;
1012640628;BREADOCK ROBERTE;SEXO: MACHO;2010-05-01;2016-02-15;CACHORRO;1;2;953010000567610;2016-09-28 00:00;1012640032;0;;;;1;;;;;;;;;;;;;
1009570215;MIA CARVALHO DE OLIVEIRA;SEXO: FÊMEA;2014-10-20;2016-07-15;GATO;0;2;953010000692463;2016-09-30 00:00;1009570053;0;;;;1;;;;;;;;;;;;;
1013510116;VITORIA CORREA;SEXO: FÊMEA;2012-08-26;2016-02-15;CACHORRO;0;2;1430;2016-09-29 00:00;1013510035;0;;;;1;;;;;;;;;;;;;
1010410218;LOLA GODOY;SEXO: FÊMEA;2012-07-14;2016-04-01;CACHORRO;0;2;953010000575448;2016-09-26 00:00;1010410048;0;;;;1;;;;;;;;;;;;;
1011060172;AKIRA SILVA;SEXO: FÊMEA;2015-01-26;2015-12-01;CACHORRO;1;2;953010000565552;2016-09-26 00:00;1011060091;0;;;;1;;;;;;;;;;;;;
1011060253;LUA SILVA;SEXO: FÊMEA;2015-04-14;2015-12-01;CACHORRO;1;2;953010000565197;2016-09-26 00:00;1011060091;0;;;;1;;;;;;;;;;;;;
1009320111;LUCKY FERNANDES;SEXO: MACHO;2015-06-15;2016-06-15;CACHORRO;0;2;452;2016-09-24 00:00;1009320022;0;;;;1;;;;;;;;;;;;;
1012860156;PRINCESA GONCALVES;SEXO: FÊMEA;2015-09-01;2016-04-10;CACHORRO;0;2;953010000578738;2016-09-28 00:00;1012860075;0;;;;1;;;;;;;;;;;;;
1012860237;CRISTAL GONCALVES;SEXO: FÊMEA;2015-09-01;2016-04-10;CACHORRO;0;2;953010000578754;2016-09-28 00:00;1012860075;0;;;;1;;;;;;;;;;;;;
1012910196;RAUL SEIXAS;SEXO: MACHO;2012-03-10;2016-07-01;CACHORRO;0;2;1296;2016-09-28 00:00;1012910013;0;;;;1;;;;;;;;;;;;;
1012910277;JOHN LENNON;SEXO: MACHO;2014-08-03;2016-07-01;CACHORRO;0;2;1297;2016-09-28 00:00;1012910013;0;;;;1;;;;;;;;;;;;;
1009930106;VICTORIA RODRIGUES;SEXO: MACHO;2014-01-20;2016-05-01;GATO;0;2;583;2016-09-26 00:00;1010600092;0;;;;1;;;;;;;;;;;;;
1010020177;LUCKY SILVA;SEXO: MACHO;2013-09-20;2016-05-15;CACHORRO;1;2;953010000582023;2016-09-26 00:00;1008240050;0;;;;1;;;;;;;;;;;;;
1010040101;MEL ROCHA;SEXO: FÊMEA;2013-09-29;2016-03-21;CACHORRO;1;2;953010000581953;2016-09-26 00:00;1010040011;0;;;;1;;;;;;;;;;;;;
1013000185;LEONA AZEREDO;SEXO: FÊMEA;2009-01-28;2016-02-01;CACHORRO;0;2;1317;2016-09-28 00:00;1013000002;0;;;;1;;;;;;;;;;;;;
1013000266;NITO AZEREDO;SEXO: MACHO;2015-05-30;2016-02-01;CACHORRO;0;2;1318;2016-09-28 00:00;1013000002;0;;;;1;;;;;;;;;;;;;
1012590264;MEL DUUS;SEXO: FÊMEA;2011-12-27;2016-07-15;CACHORRO;0;2;963006000103987;2016-09-28 00:00;1012590001;0;;;;1;;;;;;;;;;;;;
1012590345;MANU DUUS;SEXO: FÊMEA;2013-05-01;2016-07-15;CACHORRO;0;2;953010000578871;2016-09-28 00:00;1012590001;0;;;;1;;;;;;;;;;;;;
1013500153;SOFHIA ROCHA;SEXO: FÊMEA;2012-09-09;2016-04-01;CACHORRO;0;2;953010000571967;2016-09-29 00:00;1013500072;0;;;;1;;;;;;;;;;;;;
1013500234;LUDMILLA ROCHA;SEXO: FÊMEA;2015-01-13;2016-04-01;CACHORRO;0;2;953010000578726;2016-09-29 00:00;1013500072;0;;;;1;;;;;;;;;;;;;
1013500315;GORDUCHO ROCHA;SEXO: MACHO;2015-01-13;2016-04-01;CACHORRO;0;2;1433;2016-09-29 00:00;1013500072;0;;;;1;;;;;;;;;;;;;
1013500404;MAYA LIGIA ROCHA;SEXO: FÊMEA;2014-07-09;2016-04-01;CACHORRO;0;2;953010000568108;2016-09-29 00:00;1013500072;0;;;;1;;;;;;;;;;;;;
1013530141;PRINCESA LLUDGAR;SEXO: FÊMEA;2014-11-20;2016-04-21;CACHORRO;0;2;1441;2016-09-29 00:00;1013530061;0;;;;1;;;;;;;;;;;;;
1013530222;MARRONE LLUDGAR;SEXO: MACHO;2014-11-20;2016-04-21;CACHORRO;0;2;1444;2016-09-29 00:00;1013530061;0;;;;1;;;;;;;;;;;;;
1013600115;BEATRICE VICENTE;SEXO: FÊMEA;2013-11-15;2016-04-15;CACHORRO;1;2;953010000576076;2016-09-29 00:00;1013600026;0;;;;1;;;;;;;;;;;;;
1014420170;SOPHIA VASCONCELOS;SEXO: FÊMEA;2009-09-21;2016-06-15;CACHORRO;0;2;953010000575460;2016-10-03 00:00;1014420099;0;;;;1;;;;;;;;;;;;;
1014420251;MAYA VASCONCELOS;SEXO: FÊMEA;2011-11-18;2016-06-15;CACHORRO;0;2;953010000575456;2016-10-03 00:00;1014420099;0;;;;1;;;;;;;;;;;;;
1012170133;SPOT CALVAO;SEXO: MACHO;2008-12-14;2016-05-17;CACHORRO;0;2;1119;2016-09-28 00:00;1012170052;0;;;;1;;;;;;;;;;;;;
1012580111;LUNA DURR;SEXO: FÊMEA;2014-02-15;2016-03-15;CACHORRO;0;2;953010000567604;2016-09-28 00:00;1012580030;0;;;;1;;;;;;;;;;;;;
1012580200;MEG AGUIAR;SEXO: FÊMEA;2014-02-05;2016-03-15;CACHORRO;0;2;1214;2016-09-28 00:00;1012580030;0;;;;1;;;;;;;;;;;;;
1012580382;BONNNO AGUIAR;SEXO: MACHO;2014-02-01;2016-03-15;CACHORRO;0;2;1217;2016-09-28 00:00;1012580030;0;;;;1;;;;;;;;;;;;;
1012580463;MIA AGUIAR;SEXO: MACHO;2015-03-01;2016-03-15;GATO;0;2;1221;2016-09-28 00:00;1012580030;0;;;;1;;;;;;;;;;;;;
1012220173;LEO VOLTOLINI;SEXO: MACHO;2009-06-10;2016-06-15;CACHORRO;0;2;1128;2016-09-28 00:00;1012220092;0;;;;1;;;;;;;;;;;;;
1012220254;ARTHUR VOLTOLINI;SEXO: MACHO;2009-06-05;2016-06-15;CACHORRO;0;2;1130;2016-09-28 00:00;1012220092;0;;;;1;;;;;;;;;;;;;
1012220335;BEBEL VOLTOLINI;SEXO: FÊMEA;2015-05-15;2016-06-15;CACHORRO;0;2;1131;2016-09-28 00:00;1012220092;0;;;;1;;;;;;;;;;;;;
