id;nome
1;Acupuntura médico-veterinária
2;Anestesiologia médico-veterinária
3;Aquarismo
4;Bem-estar e comportamento animal
5;Clínica e técnica cirúrgica
6;Clínica médica de grandes animais - ruminantes, equídeos e suínos
7;Cardiologia
8;Dermatologia
9;Odontologia
10;Oftalmologia
11;Ortopedia e traumatologia
12;Ecologia e gestão ambiental
13;Farmacologia e terapêutica médico-veterinária
14;Fisiologia e endocrinologia médico-veterinária
15;Fisioterapia e reabilitação animal
16;Hematologia médico-veterinária
17;Homeopatia médico-veterinária
18;Imunologia
19;Inspecção higiênica, sanitária e tecnológica 
20;Medicina e produção de animais aquáticos
21;Medicina e produção de animais de laboratórios
22;Medicina e produção de animais silvestres
23;Medicina Veterinária intensiva
24;Medicina Veterinária legal
25;Medicina Veterinária preventiva
26;Morfologia médico-veterinária - anatomia, histologia, citologia e embriologia
27;Neurologia veterinária
28;Odontologia médico-veterinária
29;Oftalmologia Veterinária
30;Oncologia médico-veterinária
31;Parasitologia médico-veterinária
32;Anatomia patológica
33;Histopatologia
34;Ornitopatologia
35;Radiologia e diagnóstico por imagem médico
36;Reprodução animal
37;Toxicologia médico-veterinária
38;Urologia e nefrologia felina
